지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd)
90,속초,2013-08,27.4,30.9,24.1,35.8,18.1,20130809,20130831,26.8,34.4,16.8,20130812,20130825,22.1,75,39,20130809,174.6,93.5,37,13,20130831,20130831,20130831
90,속초,2013-09,20.3,23.6,17.1,29.2,11.3,20130920,20130927,19.5,26.8,8.5,20130913,20130927,16.9,82,36,20130917,175.3,46.5,16,6,20130924,20130913,20130926
90,속초,2013-10,15.7,19.6,11.5,26,7.2,20131002,20131025,12.7,23.2,4.3,20131007,20131025,9.8,70,27,20131025,66.4,31.5,8,2.5,20131015,20131008,20131015
90,속초,2013-11,8.4,12.1,4.3,19.9,-4,20131103,20131128,6.2,16.3,1.6,20131102,20131128,-1.5,52,21,20131122,23.3,8,,,20131124,,
90,속초,2013-12,2.7,6.2,-0.9,13,-6.6,20131204,20131228,4.1,9.4,1.2,20131209,20131213,-6.3,54,24,20131229,62.7,38,,,20131210,,
90,속초,2014-01,1.9,5.7,-2.6,12.6,-8.8,20140129,20140115,3.6,8.3,0.9,20140125,20140110,-8.4,50,11,20140129,29.3,14.1,,,20140121,,
90,속초,2014-02,1,4.5,-2.3,16.7,-7.9,20140227,20140205,5.2,10.3,1.1,20140202,20140204,-2.9,78,20,20140204,168.2,44.6,,,20140209,,
90,속초,2014-03,7.9,12.2,3.2,26.9,-4.2,20140328,20140307,6.2,12.8,1.6,20140317,20140307,-1,57,17,20140312,40.4,15.1,,,20140305,,
90,속초,2014-04,13.3,17.6,8.8,27,0.7,20140415,20140405,9.4,15.5,3.5,20140428,20140407,5.6,65,19,20140409,98.8,41,10.5,3,20140429,20140403,20140403
90,속초,2014-05,18.1,23.4,13.5,32.5,8.1,20140527,20140501,12.2,19.6,3.5,20140524,20140506,9.2,62,18,20140530,25,11,7,1.5,20140508,20140508,20140508
90,속초,2014-06,19.9,23.3,17.5,32.8,13.7,20140601,20140613,20.4,27.4,12.5,20140628,20140601,17.7,90,31,20140601,41.9,8,4,2,20140603,20140603,20140619
90,속초,2014-07,25.1,28.7,21.7,34.6,16.9,20140711,20140707,24.6,32.8,14.6,20140731,20140711,20.7,80,26,20140711,126.9,46,19,9,20140703,20140703,20140709
90,속초,2014-08,23.5,26.6,20.7,33.3,15.6,20140801,20140831,25.2,37.8,17,20140805,20140831,21,88,43,20140812,296.1,73.5,19,8,20140821,20140821,20140818
90,속초,2014-09,20.6,24.5,17,31,12.7,20140905,20140930,20,27.1,11.9,20140908,20140919,17.4,84,40,20140905,181,138,19.5,8.5,20140903,20140903,20140903
90,속초,2014-10,15.8,20,11.2,24.6,6.6,20141026,20141023,11.9,22.5,4.5,20141013,20141016,9,67,21,20141026,39.6,21,4.5,1.5,20141021,20141004,20141004
90,속초,2014-11,10.2,14.1,6.3,19.5,-1.9,20141106,20141113,7.7,19,1.3,20141101,20141113,1.8,61,18,20141113,51.6,25,,,20141128,,
90,속초,2014-12,0.6,4.6,-3.7,11.7,-10.8,20141201,20141218,2.6,9.4,0.8,20141201,20141202,-12.4,38,16,20141218,0.2,0.2,,,20141215,,
90,속초,2015-01,1.8,5.6,-2.1,12.2,-7.9,20150105,20150101,3.7,8.7,1.2,20150126,20150118,-8,52,16,20150103,8.7,4,,,20150122,,
90,속초,2015-02,2.4,6.1,-1.4,14.5,-10.4,20150222,20150209,4.4,10.1,0.8,20150222,20150209,-5.8,59,18,20150212,32.1,16,,,20150216,,
90,속초,2015-03,6.6,11.5,1.7,21.4,-5,20150327,20150310,5.2,15,1.1,20150331,20150310,-3.8,52,12,20150322,8,5.5,,,20150331,,
90,속초,2015-04,11.1,15.1,7,29.8,1.2,20150427,20150409,8.1,14.8,2.9,20150430,20150418,3.5,69,16,20150423,74.2,21,8.5,2.5,20150420,20150402,20150402
90,속초,2015-05,17.8,22.9,12.9,32.6,7.8,20150526,20150510,11.5,22.2,4.4,20150503,20150517,8.5,61,15,20150516,9.2,3,2,1,20150511,20150511,20150503
90,속초,2015-06,19.5,23.2,16.4,30.1,12.7,20150601,20150609,18.3,25,7.4,20150625,20150604,15.8,83,19,20150601,127.7,114.5,15.5,4,20150626,20150626,20150626
90,속초,2015-07,22.7,26.1,19.8,35.4,14.8,20150731,20150707,23.1,33,13.7,20150726,20150717,19.6,85,34,20150701,163.1,48,16,8.5,20150724,20150724,20150703
90,속초,2015-08,24.2,28,20.7,33,16.1,20150805,20150826,25.1,34.4,11.6,20150808,20150828,21,84,27,20150827,198.6,59,56.5,21.5,20150813,20150813,20150813
90,속초,2015-09,19.1,23.1,15.3,27.1,12.5,20150903,20150916,17.7,26.6,6.9,20150902,20150928,15.3,80,27,20150928,13.5,4,2,0.9,20150906,20150902,20150901
90,속초,2015-10,14.7,19.3,10.2,26.2,1,20151003,20151031,10,20.1,1.3,20151008,20151030,5.1,58,7,20151009,27.4,14.8,9.6,3.1,20151001,20151001,20151001
90,속초,2015-11,8.4,11.5,5.5,21.7,-3.2,20151105,20151127,8.4,13.7,1.2,20151114,20151127,3.2,74,12,20151127,463.5,67.5,,,20151111,,
90,속초,2015-12,3,6.8,-1,10.9,-7.2,20151209,20151228,4.3,10.2,0.1,20151202,20151228,-6.4,53,1,20151218,1.7,1.3,,,20151211,,
90,속초,2016-01,-1.2,2.7,-5.3,11.5,-16.4,20160102,20160124,2.6,10.6,0.3,20160103,20160124,-13.9,43,9,20160123,6.6,3.7,,,20160130,,
90,속초,2016-02,0.8,4.3,-3,10.3,-9.4,20160218,20160202,3.6,9,1,20160213,20160205,-8.5,55,14,20160205,38.3,13.4,,,20160213,,
90,속초,2016-03,7,11.4,2.4,21.5,-7.6,20160329,20160301,5.6,11.6,1.4,20160318,20160301,-2,58,13,20160316,31.8,18.2,,,20160305,,
90,속초,2016-04,12.6,17.8,7.6,29.3,3.6,20160422,20160411,9.1,14.2,2.1,20160421,20160408,5.1,66,10,20160408,77.5,32.3,13.2,2.8,20160416,20160416,20160416
90,속초,2016-05,17.2,22.6,12.5,29,7.3,20160528,20160514,12.5,19.6,5,20160524,20160505,9.8,67,13,20160505,35.7,20.5,2.9,0.7,20160510,20160510,20160510
90,속초,2016-06,20.6,24.3,17.5,30.5,12.6,20160617,20160602,19.4,26.3,8.8,20160630,20160604,16.9,82,23,20160604,62.2,30.9,13.6,8.4,20160612,20160612,20160612
90,속초,2016-07,22.9,25.8,20.7,31.9,17,20160729,20160706,24.9,34,19.1,20160730,20160706,20.9,90,55,20160714,477.8,206.4,20.3,8.1,20160705,20160705,20160705
90,속초,2016-08,25.5,29.3,22.1,35.9,15.3,20160813,20160829,26.9,35.6,14.1,20160812,20160831,22,82,47,20160826,186.9,65.4,18.3,10.1,20160828,20160828,20160801
90,속초,2016-09,20.4,23.6,17.5,28.6,13.2,20160901,20160923,20.7,27.2,12.1,20160906,20160923,17.9,87,47,20160925,126,41.8,40,11.7,20160912,20160912,20160912
90,속초,2016-10,15.3,19,11.5,24.2,3.3,20161017,20161030,13.3,22.7,3.4,20161002,20161031,10.5,75,22,20161031,128.5,52.3,16.6,7.6,20161003,20161003,20161003
90,속초,2016-11,8.4,12.6,4,20.8,-2.5,20161105,20161124,6.9,14.5,1.5,20161114,20161125,0.4,60,13,20161102,40.8,17.3,,,20161106,,
90,속초,2016-12,4.4,8.4,0.3,14.1,-6.1,20161205,20161228,4.7,13.1,1.2,20161222,20161230,-4.6,56,13,20161202,121.7,36.2,,,20161227,,
90,속초,2017-01,0.8,5,-3.3,11.3,-11.2,20170107,20170123,3.4,8.8,0.7,20170107,20170114,-9.6,50,13,20170110,82.4,29.3,,,20170120,,
90,속초,2017-02,3,7.5,-1.7,14.7,-8.2,20170216,20170210,3.5,9.2,1.3,20170217,20170218,-8.6,44,11,20170216,3.2,3.2,,,20170222,,
90,속초,2017-03,7,11.4,2.6,18.5,-2.8,20170318,20170308,5.6,10.8,1.7,20170330,20170307,-1.9,57,17,20170307,48.7,11.8,,,20170331,,
90,속초,2017-04,14.8,20.1,9.8,30.8,2.6,20170430,20170402,8.9,15.1,2.8,20170408,20170413,4.6,56,13,20170403,46.8,17.1,6.5,2.1,20170417,20170417,20170401
90,속초,2017-05,18.7,23.8,13.8,34.3,9.3,20170519,20170501,12.8,21.6,2.3,20170529,20170506,9.9,62,11,20170531,25.2,9.8,6.9,2.7,20170513,20170513,20170513
90,속초,2017-06,19.8,23.8,15.9,29.7,9.9,20170614,20170602,18.2,26.3,7.5,20170629,20170610,15.6,79,28,20170609,69.7,15,6.8,5.2,20170601,20170601,20170601
90,속초,2017-07,25.6,29.1,22.5,34.9,18.9,20170721,20170705,26,33.6,18.3,20170721,20170701,21.7,81,40,20170711,270.3,67.6,32.4,10,20170708,20170708,20170703
90,속초,2017-08,23.7,26.7,21.1,32.4,16.4,20170822,20170830,24.6,34.8,10.2,20170805,20170826,20.5,84,25,20170826,424.9,89.4,45.3,14.8,20170818,20170818,20170818
90,속초,2017-09,20.8,25.1,16.1,28.4,13.1,20170908,20170929,17.2,26.3,4.2,20170908,20170929,14.7,71,18,20170928,50.5,28.8,24.1,20.4,20170919,20170919,20170919
90,속초,2017-10,14.5,18.8,10.5,25,4,20171001,20171031,12.5,22.4,3.7,20171009,20171031,9.5,74,19,20171001,135.4,38.8,20.3,6,20171010,20171029,20171029
90,속초,2017-11,7.8,12.3,2.9,20.4,-4,20171102,20171119,5.1,14.5,0.7,20171103,20171130,-4.7,43,12,20171130,41.2,20.9,,,20171103,,
90,속초,2017-12,0.7,4.7,-3.6,11.4,-9.9,20171223,20171217,2.7,8.2,0.5,20171224,20171215,-12.9,38,7,20171215,9.9,9.4,,,20171224,,
90,속초,2018-01,-1.4,2.8,-5.6,11.9,-16.2,20180115,20180125,2.3,7.2,0.5,20180117,20180126,-15.2,37,15,20180129,3.9,2.4,,,20180122,,
90,속초,2018-02,-0.5,3.9,-4.9,10.5,-13.2,20180214,20180206,2.8,8.6,0.5,20180228,20180211,-13.1,43,9,20180216,54.4,49,,,20180228,,
90,속초,2018-03,8,12.5,3,24.7,-6.2,20180327,20180302,6.2,14,1.3,20180315,20180313,-0.6,59,8,20180313,55,22,,,20180305,,
90,속초,2018-04,13,18.8,7.5,32.5,2,20180421,20180409,7.9,14.9,1.6,20180430,20180407,2.8,57,9,20180421,141.7,56.8,6.3,1.3,20180423,20180423,20180424
90,속초,2018-05,15.9,20.7,11.6,29.4,4.5,20180516,20180510,13.1,25.5,4.5,20180516,20180504,10.5,75,15,20180504,123.6,47.3,14.1,5.5,20180517,20180517,20180517
90,속초,2018-06,21.3,25.9,17.4,33.9,13.2,20180624,20180617,17.7,25.5,11.4,20180630,20180621,15.4,72,25,20180622,46.5,18.6,12.4,6.3,20180626,20180628,20180628
90,속초,2018-07,25,28.7,22.1,35.4,14.8,20180722,20180707,25.7,36.5,14.7,20180725,20180708,21.3,82,40,20180722,185.4,53.2,12.3,3.5,20180701,20180701,20180701
90,속초,2018-08,25.6,29.2,22.4,38.7,17.2,20180805,20180818,26.9,37.4,17.3,20180804,20180818,22.1,82,40,20180805,625,226.2,70.1,18.1,20180806,20180806,20180806
90,속초,2018-09,20,23.8,16.2,29,12.6,20180905,20180925,17,25,6.7,20180904,20180930,14.5,73,27,20180924,66.1,24.4,8.5,4.2,20180921,20180903,20180903
90,속초,2018-10,13.5,17.9,9,23.8,0.3,20181007,20181030,9.6,18.8,3.8,20181006,20181027,5.5,61,20,20181008,257.6,130,28.9,7.6,20181006,20181018,20181018
90,속초,2018-11,9.2,13.3,5.3,19.2,-1.9,20181104,20181123,7,14.6,1.5,20181108,20181123,0.3,57,16,20181128,207.4,152.8,,,20181107,,
90,속초,2018-12,1.6,5.8,-2.4,12.7,-11.4,20181202,20181228,3.3,12.6,0.4,20181204,20181227,-11.4,42,8,20181227,10.4,7.1,,,20181204,,
90,속초,2019-01,1.7,6.3,-3,12.8,-9,20190130,20190116,2.4,6.8,0.4,20190112,20190110,-13.4,35,4,20190110,8.7,8.7,,,20190131,,
90,속초,2019-02,2.5,6.5,-1.7,15.7,-7.3,20190224,20190208,3.7,8.1,1,20190203,20190211,-8,49,13,20190204,27.6,13.6,,,20190203,,
90,속초,2019-03,8.2,13.1,3.1,21.6,-1.4,20190319,20190314,5.4,12.5,1.2,20190320,20190313,-2.6,51,7,20190309,44.4,12.3,,,20190320,,
90,속초,2019-04,11.9,16.6,6.9,25.9,1.3,20190417,20190411,7.5,19,1.9,20190424,20190405,1.4,55,8,20190416,80.9,31.2,4.6,1.7,20190410,20190410,20190426
90,속초,2019-05,19.8,25,14.7,34.2,6.5,20190525,20190506,11.2,19.1,2.8,20190527,20190505,7.6,52,8,20190505,5.7,4,2.6,0.9,20190527,20190527,20190527
90,속초,2019-06,20,24.1,16.6,30.2,11.5,20190603,20190612,18.1,26.3,7.7,20190630,20190602,15.6,78,19,20190601,97.8,44,18.6,11.2,20190607,20190615,20190615
90,속초,2019-07,24.7,28,21.8,36.1,17.7,20190723,20190708,24.4,35.2,15.4,20190728,20190702,20.5,80,36,20190702,234.4,92.5,26.9,7.9,20190711,20190726,20190726
90,속초,2019-08,25.7,29.4,22.7,35.6,19.3,20190801,20190831,25.6,34.4,14.5,20190805,20190831,21.2,78,35,20190823,293.5,203.7,37,13,20190815,20190815,20190807
90,속초,2019-09,20.9,24.7,17.5,32.3,11.6,20190907,20190923,19.5,29.7,11.4,20190907,20190924,16.9,79,41,20190918,209.9,58.8,12.8,3.3,20190922,20190905,20190905
90,속초,2019-10,16.1,20,12.1,25,6.5,20191001,20191030,12.6,24.1,4.3,20191002,20191030,9.6,68,25,20191030,185.5,78.8,19.5,4.9,20191003,20191005,20191005
90,속초,2019-11,9.4,13.9,5.2,21.1,-1.2,20191105,20191120,6.9,14.9,1,20191102,20191114,0.3,57,12,20191114,157.3,71.1,,,20191125,,
90,속초,2019-12,4.2,8.4,-0.2,14.4,-7.1,20191216,20191206,3.9,10.4,0.5,20191217,20191205,-7.7,45,7,20191205,9.8,9.8,,,20191218,,
90,속초,2020-01,3.4,7.2,0.3,11.2,-4.1,20200122,20200114,4.2,12.4,1.4,20200107,20200114,-6.3,53,17,20200116,148.1,58.6,,,20200107,,
90,속초,2020-02,4.1,8,-0.2,16.1,-8.2,20200213,20200206,4.6,10.9,0.8,20200215,20200205,-5.6,53,14,20200224,55.8,24.1,,,20200225,,
90,속초,2020-03,7.9,12.6,2.7,19.3,-1.8,20200326,20200305,6,12.6,1.6,20200327,20200313,-1.3,56,11,20200313,38,20.7,,,20200310,,
90,속초,2020-04,11.3,16.1,6.3,24.5,0.9,20200430,20200405,6.5,12.8,2.1,20200417,20200421,-0.1,50,12,20200403,38.4,18.1,6.7,2.9,20200419,20200419,20200418
90,속초,2020-05,17.1,21.6,13.3,32.4,7.8,20200501,20200519,13.1,18.5,3.8,20200530,20200514,10.5,70,12,20200514,245.1,140,25.8,5.3,20200519,20200519,20200519
90,속초,2020-06,22.2,26.4,18.3,33.2,13.9,20200614,20200603,19.1,24.3,7.5,20200623,20200602,16.6,74,20,20200601,271.9,214.6,30.9,9.9,20200630,20200630,20200630
90,속초,2020-07,21.6,24.7,19,33.3,15.6,20200731,20200712,21.9,29.1,16.3,20200731,20200716,18.9,85,45,20200731,374.7,115.5,35.9,8,20200724,20200724,20200724
90,속초,2020-08,25.7,29.6,22.8,35.1,19.6,20200819,20200823,26.5,34.2,20,20200829,20200819,22,82,40,20200819,411.3,127.9,31.3,8.4,20200805,20200804,20200804
90,속초,2020-09,20.1,23.8,16.8,28.7,12.1,20200903,20200928,17.5,29.7,9.2,20200903,20200919,15.1,75,26,20200919,482.8,192.5,51.8,12.7,20200907,20200902,20200902
90,속초,2020-10,14.3,19,9.7,23.7,4.6,20201002,20201024,9.8,18.1,2.7,20201003,20201024,5.8,60,16,20201025,0,0,0,0,20201013,20201013,20201013
90,속초,2020-11,10,14.4,5.4,23.1,-2.1,20201119,20201130,6.1,20.2,0.8,20201119,20201108,-2.1,47,6,20201108,19.2,15.3,,,20201119,,
90,속초,2020-12,1.8,6,-2.5,11.2,-11.3,20201228,20201231,2.7,6.8,0.4,20201229,20201219,-12.9,35,6,20201219,0.5,0.5,,,20201213,,
90,속초,2021-01,-1.2,2.9,-5.5,9.7,-16.1,20210121,20210108,2.9,8.7,0.4,20210125,20210108,-13.6,43,10,20210102,0,0,,,20210131,,
90,속초,2021-02,3.1,7.7,-1.5,17.8,-10.1,20210220,20210218,4.2,9.5,0.8,20210214,20210216,-7.4,51,13,20210202,5,4.8,,,20210227,,
90,속초,2021-03,8,12.6,3.7,18.9,-4.5,20210323,20210303,6.6,13.3,2.5,20210328,20210323,0.4,64,14,20210323,104.2,73.4,,,20210301,,
90,속초,2021-04,12.3,16.6,7.8,23.8,2,20210419,20210405,8.5,15.2,3.3,20210422,20210417,4,61,15,20210428,97.2,40.5,5.9,1.7,20210403,20210403,20210403
90,속초,2021-05,16.7,21.5,12.1,29.8,7.6,20210523,20210502,11.6,18.2,3.3,20210522,20210506,8.4,63,14,20210509,154.9,67,12.1,3.4,20210516,20210516,20210516
90,속초,2021-06,20.3,23.8,17.1,30,12.9,20210607,20210604,18.9,25.2,6.9,20210627,20210605,16.4,81,26,20210605,43.8,10.2,7.1,6.6,20210603,20210622,20210622
90,속초,2021-07,25.5,29.3,22.3,33.2,18.1,20210731,20210705,27.5,35,20,20210730,20210706,22.5,85,50,20210705,104.1,50.3,13.3,3.8,20210704,20210704,20210704
90,속초,2021-08,24.4,28,21.5,33.8,17.1,20210804,20210831,24.3,36.1,15.7,20210801,20210827,20.4,80,42,20210828,247.1,83.5,67.5,22.5,20210808,20210808,20210808
90,속초,2021-09,20.9,24.7,17.6,28.8,14.6,20210921,20210930,19.6,26,12.1,20210910,20210923,17.1,80,31,20210911,141.6,43.1,9.5,6.8,20210907,20210905,20210924
90,속초,2021-10,15.5,20,11.6,27.5,2.2,20211010,20211017,12.7,24.9,2.9,20211005,20211017,9.3,69,28,20211028,216.9,56.9,20.4,8.2,20211005,20211015,20211015
90,속초,2021-11,9.9,14.4,5.7,20.1,-1.8,20211107,20211123,6.5,15.3,1,20211106,20211123,-0.9,50,8,20211129,16.2,10.9,,,20211102,,
90,속초,2021-12,2.8,7.2,-1.9,13.9,-14.9,20211210,20211226,3.8,9.3,0.8,20211210,20211218,-8.4,47,14,20211218,68.7,42.1,,,20211224,,
90,속초,2022-01,-0.6,3,-4.5,7.8,-9.8,20220126,20220112,2.9,6.1,0.9,20220124,20220117,-11.1,48,14,20220103,3.6,3.1,,,20220119,,
90,속초,2022-02,0.3,4.3,-3.9,12.7,-10.9,20220228,20220217,2.7,7.3,0.9,20220228,20220221,-12.6,40,10,20220224,11.1,8.1,,,20220213,,
90,속초,2022-03,7.1,11.3,2.9,21,-2,20220311,20220307,6,11.7,1.1,20220326,20220305,-1.3,61,9,20220310,114.5,29.2,,,20220319,,
90,속초,2022-04,14.2,19.1,8.8,29.8,1.8,20220410,20220402,8.4,16.8,2.9,20220426,20220408,3.7,55,12,20220410,33.5,15.6,2.7,0.8,20220429,20220429,20220429
90,속초,2022-05,18.5,23.7,13.1,33.5,5.8,20220528,20220502,11,18.3,4.3,20220529,20220529,7.7,54,12,20220529,9.1,7.7,2.9,0.9,20220507,20220507,20220507
